id,z_2017_81Sites,zbar_2017_81Sites,x_2017_81Sites,gamma_81Sites,theta_81Sites,d_theta_winsorized_2017,d_theta_winsorized_2006,pasture_area_2017,sitearea_ha_81Sites,amazonbiomearea_ha_81Sites,forestarea_1995_ha_81Sites,otherarea_1995_ha_81Sites,z_1995_81Sites,zbar_1995_81Sites,forestArea_2017_ha_81Sites,otherarea_2017_ha_81Sites,gamma2010_81Sites,gamma2017_81Sites,gamma2018_81Sites,gammaSD_81Sites,alpha_81Sites,kappa_81Sites,zeta_81Sites,zeta_alt_81Sites,theta2017_81Sites,theta2006_81Sites,thetaSD_81Sites,p_2017_81Sites
45,67688.625,7072091.5,4314612736,615.98578,1.4861639,0,0,65192.09,7206558.5,7206558.5,7067030,128610.65,10917.899,7077948,7004403,134466.78,589.89825,628.65045,629.40863,18.44926367,0.045007415,2.0942152,0.00016616,0.00020579,1.1173834,1.8549445,0.36878055,44.758762
46,429667.56,7131869,4535808000,676.76385,1.7855104,0,0,284777.84,7206558.5,7206558.5,7054961.5,68433.938,83162.781,7138124,6702201.5,74689.055,644.12286,693.57806,692.5907,23.08420143,0.045007415,2.0942152,0.00016616,0.00020579,1.48166,2.089361,0.3038505,44.758762
47,543244.44,7088549,4231793920,646.53888,1.359671,0,0,543304.81,7206558.5,7206558.5,7078870,105453.85,22234.477,7101104.5,6545304.5,118009.39,618.3175,661.802,659.49707,19.97768596,0.045007415,2.0942152,0.00016616,0.00020579,1.0697514,1.6495906,0.2899196,44.758762
48,2574056.5,7152091,2734299136,597.26489,1.9643621,0,0,1774118.4,7206558.5,7206558.5,6325817.5,36351.508,844389.38,7170207,4578034.5,54467.602,571.95233,610.12195,609.7204,17.89943588,0.045007415,2.0942152,0.00016616,0.00020579,1.638965,2.2897592,0.3253971,44.758762
49,3907754.8,5545534.5,706341120,431.27969,2.0733478,0,0,3059758.8,7206558.5,5755570.5,2593513,177419.8,2985331,5578844,1637779.8,210729.11,441.30484,425.98303,426.55121,7.092643202,0.045007415,2.0942152,0.00016616,0.00020579,1.8939482,2.2527475,0.17939965,44.758762
50,1033201.9,1930475.1,306000800,341.03412,2.0229075,0,0,994587,7206558.5,1939536.1,1364741,7611.6299,568109.88,1932850.9,897273.31,9987.2236,367.48502,326.36264,329.2547,18.74083929,0.045007415,2.0942152,0.00016616,0.00020579,2.0921195,1.9536952,0.06921215,44.758762
51,230923.09,5771525,4173372928,753.23456,1.3213861,0,0,120384.24,7170919,5793798,5664385,18853.521,111491.84,5775877,5540602,23207.561,721.12836,770.12286,768.45258,22.71277825,0.045007415,2.0942152,0.00016616,0.00020579,1.1684989,1.4742733,0.1528872,44.758762
52,237030.25,7134636,5255834112,761.97949,1.6319109,0,0,145912.25,7170919,7170919,7055598,27345.488,87975.406,7143573.5,6897606,36282.637,731.33447,782.13641,772.46759,22.02588565,0.045007415,2.0942152,0.00016616,0.00020579,1.5653453,1.6984764,0.06656555,44.758762
53,383720.69,7130323.5,4820748800,714.54462,1.8066156,0,0,179108.16,7170919,7170919,7013303,35929.008,121686.86,7134990,6746602.5,40595.609,690.84705,725.32507,727.46173,16.77939865,0.045007415,2.0942152,0.00016616,0.00020579,1.6588264,1.9544048,0.1477892,44.758762
54,142002.61,6982591.5,4339174912,634.3277,1.2775141,0,0,195188.09,7170919,7170919,6961628,182865.41,26425.68,6988053.5,6840589,188327.47,619.08356,641.91675,641.98267,10.77924008,0.045007415,2.0942152,0.00016616,0.00020579,0.96832365,1.5867045,0.309190425,44.758762
55,642573.06,6749146.5,3424696320,560.82129,2.3334808,0,0,441227.91,7170919,7170919,6548343.5,412985.25,209590.16,6757933.5,6106573.5,421772.56,552.82013,564.05511,565.58862,5.692204859,0.045007415,2.0942152,0.00016616,0.00020579,1.8764772,2.7904842,0.4570035,44.758762
56,422712.34,6857692.5,3971006720,617.09698,2.1024253,0,0,284536.75,7170919,7170919,6809506,312273.28,49139.309,6858645.5,6434980.5,313226.28,605.09326,624.05267,622.1449,8.523544129,0.045007415,2.0942152,0.00016616,0.00020579,1.6558396,2.549011,0.4465857,44.758762
57,143328.89,6951490.5,4054383360,595.51807,2.1574125,0,0,367144.88,7170919,7170919,6933334.5,227651.53,9932.7529,6943267.5,6808161.5,219428.27,580.87494,603.1546,602.52472,10.35746093,0.045007415,2.0942152,0.00016616,0.00020579,1.7605865,2.5542386,0.39682605,44.758762
58,775932.88,6925245.5,3655898112,594.52148,1.7591091,0,0,394698.94,7170919,7170919,6843975,219386.5,107556.43,6951531.5,6149312.5,245673.42,573.69238,603.93817,605.93378,14.75088753,0.045007415,2.0942152,0.00016616,0.00020579,1.4056544,2.1125638,0.3534547,44.758762
59,112998.61,7070400.5,3867910144,555.94171,1.2824467,0,0,650597.44,7170919,7170919,7079177.5,77878.453,13862.686,7093040.5,6957402,100518.32,530.04327,569.23755,568.54443,18.31517683,0.045007415,2.0942152,0.00016616,0.00020579,0.94761914,1.6172744,0.33482763,44.758762
60,2824844.3,6219363.5,1459990016,430.10217,2.1385939,0,0,2511694,7170919,6559744.5,4767536,316527.59,1476256.1,6243792.5,3394519.3,340956.53,424.24442,433.50092,432.56116,4.159782384,0.045007415,2.0942152,0.00016616,0.00020579,1.8797712,2.3974164,0.2588226,44.758762
61,1805485.5,2352445.8,153868128,281.31497,2.2103567,0,0,2156268,7170919,2445745.3,636225.94,105430.02,1704714.4,2340940.3,546960.31,93924.469,291.61111,275.47516,276.85861,7.302351772,0.045007415,2.0942152,0.00016616,0.00020579,2.0580394,2.362674,0.1523173,44.758762
62,1933.9894,761650.19,668545472,879.99365,1.698077,0,0,11661.74,7122747,762165.5,760258.31,817.50043,1571.444,761829.81,759716.19,999.40198,838.82086,903.40277,897.75745,29.2046693,0.045007415,2.0942152,0.00016616,0.00020579,1.6564034,1.7397504,0.0416735,44.758762
63,82476.5,3616263.3,2792111104,790.11871,2.2549114,0,0,193731.39,7122747,3621797,3582253.8,4874.4102,35793.695,3618047.5,3533786.8,6651.5669,750.41779,812.56213,807.37616,28.15249977,0.045007415,2.0942152,0.00016616,0.00020579,2.2746596,2.2351632,0.0197482,44.758762
64,1443602.8,4046993.5,1801108224,691.83167,2.4571259,0,0,1056602.1,7122747,4069776.3,3345571.5,12939.712,712208.44,4057780,2603390.8,23719.498,663.61755,709.52814,702.3493,20.16450808,0.045007415,2.0942152,0.00016616,0.00020579,2.2460363,2.6682155,0.2110896,44.758762
65,968643.81,3862731.3,1865651456,644.6424,2.0963583,0,0,339467.53,7122747,3941851.5,3655563,68733.789,218649.05,3874212,2894087.5,80232.789,632.21393,652.18787,649.52545,8.855227484,0.045007415,2.0942152,0.00016616,0.00020579,1.6989094,2.4938073,0.39744895,44.758762
66,3398858.5,6899631.5,2145000064,612.72186,2.9363828,0,0,2579683,7122747,7122747,5218033,181794.84,1722918.9,6940952,3500772.8,223115.38,602.97412,617.89539,617.29608,6.897036474,0.045007415,2.0942152,0.00016616,0.00020579,2.7171216,3.1556442,0.2192613,44.758762
67,1226145.4,7068235.5,3763556352,644.21405,2.8860271,0,0,1409881.4,7122747,7122747,6352069,45623.355,725054.56,7077123.5,5842090,54511.383,630.24957,651.40747,650.98517,9.87589758,0.045007415,2.0942152,0.00016616,0.00020579,2.7798984,2.9921556,0.1061286,44.758762
68,2640896.5,7014755,2337057024,534.32385,2.6184268,0,0,1771195.4,7122747,7122747,6064082,85027.203,973637.31,7037719.5,4373858.5,107991.56,531.88843,533.53632,537.54694,2.376256385,0.045007415,2.0942152,0.00016616,0.00020579,2.3254194,2.9114342,0.2930074,44.758762
69,3210661.3,6973697,1649506304,438.34454,2.4454184,0,0,2090543.1,7122747,7122747,5401491.5,112716.02,1608539,7010030.5,3763036,149049.47,441.15302,436.80164,437.07901,1.989109223,0.045007415,2.0942152,0.00016616,0.00020579,2.0895007,2.8013363,0.3559178,44.758762
70,1466631.5,6957779.5,2196300800,399.97113,2.172893,0,0,1458712.1,7122747,7122747,6228074.5,171663.08,723009.38,6951083.5,5491148,164967.02,397.13065,401.83026,400.95251,2.040244895,0.045007415,2.0942152,0.00016616,0.00020579,1.8960309,2.449755,0.27686205,44.758762
71,1992156.5,3624090.8,516096512,316.24835,1.9308865,0,0,1614919.4,7122747,3698473.3,2723278.3,93691.117,882249.31,3605527.8,1631934.3,75128.008,318.77838,316.67694,313.2897,2.261146539,0.045007415,2.0942152,0.00016616,0.00020579,1.6768383,2.1849346,0.25404815,44.758762
72,35954.023,436805.88,219605536,547.84717,2.6426275,0,0,35352.871,7062108,459599.13,420097.53,29949.939,9954.6367,430052.19,400851.84,23198.877,540.69373,551.95062,550.89709,5.076482304,0.045007415,2.0942152,0.00016616,0.00020579,2.4535124,2.8317423,0.18911495,44.758762
73,1003991.6,2849125.8,888015232,481.27405,2.9946804,0,0,794017.63,7062108,3231825,2462813.8,383448.81,386461.19,2849274.8,1845134.4,383601.59,480.21539,482.35571,481.25104,0.873933409,0.045007415,2.0942152,0.00016616,0.00020579,2.9141335,3.0752273,0.0805469,44.758762
74,1756907.9,4401703.5,1187423104,448.96591,3.150985,0,0,1433949,7062108,4827045,3293149,437084.84,1097675.8,4390824.5,2644795.5,426206.09,447.47723,450.55219,448.86829,1.257243287,0.045007415,2.0942152,0.00016616,0.00020579,3.3036208,2.9983492,0.1526358,44.758762
75,662782.75,2630069.5,815283776,414.42038,2.8721926,0,0,625451.81,7062108,2648076.3,2450615.8,18446.559,179625.17,2630241,1967286.9,18617.93,409.80994,416.78827,416.66296,3.26048182,0.045007415,2.0942152,0.00016616,0.00020579,3.1171465,2.6272388,0.24495385,44.758762
76,1942158.6,4152444.8,860095424,389.13312,2.9776051,0,0,469324.19,7062108,4188417.5,3613343.8,39951.859,535953.44,4149297.3,2210286,36804.398,392.30423,388.14087,386.95422,2.294057824,0.045007415,2.0942152,0.00016616,0.00020579,3.38715,2.5680602,0.4095449,44.758762
77,1263981.6,4952058.5,1296884096,351.64233,2.4992287,0,0,900328.69,7062108,5188652,4500483.5,221961.06,460144.91,4960628.5,3688077,232643.86,360.75174,347.73047,346.44479,6.462672854,0.045007415,2.0942152,0.00016616,0.00020579,2.9914825,2.0069749,0.4922538,44.758762
78,502778.81,973560.19,141699600,300.98813,2.0662847,0,0,809280.81,7062108,1025516.1,739474.56,50153.148,236204.09,975678.63,470781.34,52271.621,313.27777,295.52295,294.1636,8.707805952,0.045007415,2.0942152,0.00016616,0.00020579,2.0296283,2.1029413,0.0366565,44.758762
79,860690.5,1577160.4,245812688,343.08862,2.7004027,0,0,962849.81,6989087,2159593.3,1085805.4,650695.63,423826,1509631.4,716469.88,583146.63,359.07803,335.45401,334.73386,11.31003267,0.045007415,2.0942152,0.00016616,0.00020579,2.83266,2.5681453,0.13225735,44.758762
80,2149764.8,3177990.3,298550240,290.3548,2.7670689,0,0,2775971,6989087,3602675,1346280.8,406880.81,1849143.1,3195424,1028225.6,424312.25,315.43307,278.62845,277.00287,17.74543082,0.045007415,2.0942152,0.00016616,0.00020579,3.0630326,2.4711051,0.29596375,44.758762
81,159391.59,270291.94,35163024,317.06863,3.1190131,0,0,209303.27,6989087,304669.47,134184.88,101015.41,69576.352,203761.22,110900.35,34484.691,326.05417,313.96951,311.18225,6.45481586,0.045007415,2.0942152,0.00016616,0.00020579,3.6829872,2.5550389,0.56397415,44.758762
